date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:53:20	7598/7598	---M-Z	200	added ('OK')	text/html	etag:%221dae-511b6c38b5ed2%22	http://ashobiz.asia/boot-extended11/ui/ui-127.html	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/ui-127.html	(from )
02:53:20	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202015%2020:53:26%20GMT	http://ashobiz.asia/robots.txt		(from )
02:53:24	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:24	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:25	13375/13375	---M--	200	added ('OK')	text/css	etag:%22343f-511b6c647b6a1%22	http://ashobiz.asia/boot-extended11/ui/css/style-127.css	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/css/style-127.css	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:28	30096/30096	---M--	200	added ('OK')	image/png	etag:%227590-511b6cc61f385%22	http://ashobiz.asia/boot-extended11/ui/img/ui-127/1.png	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/img/ui-127/1.png	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:29	21702/21702	---M--	200	added ('OK')	image/png	etag:%2254c6-511b6cc4fd322%22	http://ashobiz.asia/boot-extended11/ui/img/ui-127/2.png	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/img/ui-127/2.png	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:31	29976/29976	---M--	200	added ('OK')	image/png	etag:%227518-511b6cc62ed82%22	http://ashobiz.asia/boot-extended11/ui/img/ui-127/3.png	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/img/ui-127/3.png	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:32	33170/33170	---M--	200	added ('OK')	image/png	etag:%228192-511b6cc60e9e9%22	http://ashobiz.asia/boot-extended11/ui/img/ui-127/4.png	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/img/ui-127/4.png	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:33	32865/32865	---M--	200	added ('OK')	image/png	etag:%228061-511b6cc5a71be%22	http://ashobiz.asia/boot-extended11/ui/img/ui-127/5.png	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/img/ui-127/5.png	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:34	32500/32500	---M--	200	added ('OK')	image/png	etag:%227ef4-511b6cc5c65b8%22	http://ashobiz.asia/boot-extended11/ui/img/ui-127/6.png	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/img/ui-127/6.png	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:34	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-511b6ebdd3c5b%22	http://ashobiz.asia/boot-extended11/ui/js/placeholder.js	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:35	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-511b6ebf315d3%22	http://ashobiz.asia/boot-extended11/ui/js/respond.min.js	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:36	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-511b6eb5754d7%22	http://ashobiz.asia/boot-extended11/ui/js/html5shiv.js	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:37	35646/35646	---M--	200	added ('OK')	application/javascript	etag:%228b3e-511b6eb9dc32e%22	http://ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
02:53:45	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-511b6ec0fd4d3%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.js	J:/BootExtend/A/ECOM%20ITEM%20UI/ashobiz.asia/boot-extended11/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended11/ui/ui-127.html)
