date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:46:00	7032/7032	---M-Z	200	added ('OK')	text/html	etag:%221b78-511b6c3cfb9f0%22	http://ashobiz.asia/boot-extended11/ui/ui-159.html	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/ui-159.html	(from )
04:46:00	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202015%2022:46:05%20GMT	http://ashobiz.asia/robots.txt		(from )
04:46:03	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:03	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:05	9963/9963	---M--	200	added ('OK')	text/css	etag:%2226eb-511b6c69fc85d%22	http://ashobiz.asia/boot-extended11/ui/css/style-159.css	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/css/style-159.css	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:09	66238/66238	---M--	200	added ('OK')	image/jpeg	etag:%22102be-511b6d00f6e94%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/1.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:16	64986/64986	---M--	200	added ('OK')	image/jpeg	etag:%22fdda-511b6d0574446%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/2.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:17	68025/68025	---M--	200	added ('OK')	image/jpeg	etag:%22109b9-511b6cff128f8%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/3.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/3.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:18	70097/70097	---M--	200	added ('OK')	image/jpeg	etag:%22111d1-511b6d0066632%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/4.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/4.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:19	57599/57599	---M--	200	added ('OK')	image/jpeg	etag:%22e0ff-511b6d01181cd%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/5.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/5.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:23	47775/47775	---M--	200	added ('OK')	image/jpeg	etag:%22ba9f-511b6cfea81ee%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/6.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/6.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:26	53273/53273	---M--	200	added ('OK')	image/jpeg	etag:%22d019-511b6d0181937%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/7.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/7.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:26	48915/48915	---M--	200	added ('OK')	image/jpeg	etag:%22bf13-511b6d005ba54%22	http://ashobiz.asia/boot-extended11/ui/img/ui-159/8.jpg	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/img/ui-159/8.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:27	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-511b6ebdd3c5b%22	http://ashobiz.asia/boot-extended11/ui/js/placeholder.js	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:28	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-511b6ebf315d3%22	http://ashobiz.asia/boot-extended11/ui/js/respond.min.js	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:28	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-511b6eb5754d7%22	http://ashobiz.asia/boot-extended11/ui/js/html5shiv.js	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:28	35646/35646	---M--	200	added ('OK')	application/javascript	etag:%228b3e-511b6eb9dc32e%22	http://ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:31	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-511b6ec0fd4d3%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.js	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended11/ui/ui-159.html)
04:46:38	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
04:46:39	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
04:46:39	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-511b6c9267a7d%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
04:46:47	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-511b6c96db3f1%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.svg?v=4.3.0	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.svg	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
04:46:48	71508/71508	---M--	200	added ('OK')	application/x-font-woff	etag:%2211754-511b6c91999c7%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.woff?v=4.3.0	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.woff	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
04:46:52	122092/122092	---M--	200	added ('OK')	application/x-font-ttf	etag:%221dcec-511b6c96547cd%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.ttf?v=4.3.0	J:/BootExtend/A/IMAGE%20UI%203/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.ttf	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
