date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:45	9369/9369	---M-Z	200	added ('OK')	text/html	etag:%222499-511b6c38c974e%22	http://ashobiz.asia/boot-extended11/ui/ui-128.html	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/ui-128.html	(from )
02:55:46	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202015%2020:55:51%20GMT	http://ashobiz.asia/robots.txt		(from )
02:55:49	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
02:55:49	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
02:55:50	10516/10516	---M--	200	added ('OK')	text/css	etag:%222914-511b6c6490e5c%22	http://ashobiz.asia/boot-extended11/ui/css/style-128.css	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/css/style-128.css	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
02:55:51	362/362	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202015%2020:55:56%20GMT	http://ashobiz.asia/boot-extended11/ui/real-estate-ui-single.html	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/real-estate-ui-single.5.delayed	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
02:55:59	91122/91122	---M--	200	added ('OK')	image/jpeg	etag:%22163f2-511b6cc8f1d70%22	http://ashobiz.asia/boot-extended11/ui/img/ui-128/1.jpg	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/img/ui-128/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
02:56:04	69980/69980	---M--	200	added ('OK')	image/jpeg	etag:%221115c-511b6cce6a28e%22	http://ashobiz.asia/boot-extended11/ui/img/ui-128/4.jpg	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/img/ui-128/4.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
02:56:05	93326/93326	---M--	200	added ('OK')	image/jpeg	etag:%2216c8e-511b6ccb6f80c%22	http://ashobiz.asia/boot-extended11/ui/img/ui-128/2.jpg	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/img/ui-128/2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
02:56:06	91605/91605	---M--	200	added ('OK')	image/jpeg	etag:%22165d5-511b6ccdf1127%22	http://ashobiz.asia/boot-extended11/ui/img/ui-128/3.jpg	J:/BootExtend/A/REAL%20ESTATE%20LIST/ashobiz.asia/boot-extended11/ui/img/ui-128/3.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-128.html)
