date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:04	8586/8586	---M-Z	200	added ('OK')	text/html	etag:%22218a-511b6c38b2053%22	http://ashobiz.asia/boot-extended11/ui/ui-125.html	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/ui-125.html	(from )
00:23:05	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Mar%202015%2018:23:08%20GMT	http://ashobiz.asia/robots.txt		(from )
00:23:07	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:08	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:08	10490/10490	---M--	200	added ('OK')	text/css	etag:%2228fa-511b6c63fe6ba%22	http://ashobiz.asia/boot-extended11/ui/css/style-125.css	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/css/style-125.css	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:15	66238/66238	---M--	200	added ('OK')	image/jpeg	etag:%22102be-511b6cbf5dd0c%22	http://ashobiz.asia/boot-extended11/ui/img/ui-125/1.jpg	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/img/ui-125/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:19	64986/64986	---M--	200	added ('OK')	image/jpeg	etag:%22fdda-511b6cc153be4%22	http://ashobiz.asia/boot-extended11/ui/img/ui-125/2.jpg	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/img/ui-125/2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:20	68025/68025	---M--	200	added ('OK')	image/jpeg	etag:%22109b9-511b6cbed9027%22	http://ashobiz.asia/boot-extended11/ui/img/ui-125/3.jpg	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/img/ui-125/3.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:22	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-511b6ebdd3c5b%22	http://ashobiz.asia/boot-extended11/ui/js/placeholder.js	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:22	70097/70097	---M--	200	added ('OK')	image/jpeg	etag:%22111d1-511b6cc227a58%22	http://ashobiz.asia/boot-extended11/ui/img/ui-125/4.jpg	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/img/ui-125/4.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:23	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-511b6ebf315d3%22	http://ashobiz.asia/boot-extended11/ui/js/respond.min.js	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:23	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-511b6eb5754d7%22	http://ashobiz.asia/boot-extended11/ui/js/html5shiv.js	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:25	35646/35646	---M--	200	added ('OK')	application/javascript	etag:%228b3e-511b6eb9dc32e%22	http://ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:29	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-511b6ec0fd4d3%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.js	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended11/ui/ui-125.html)
00:23:33	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:23:33	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:23:34	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-511b6c9267a7d%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:23:43	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-511b6c96db3f1%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.svg?v=4.3.0	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.svg	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:23:43	71508/71508	---M--	200	added ('OK')	application/x-font-woff	etag:%2211754-511b6c91999c7%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.woff?v=4.3.0	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.woff	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:23:47	122092/122092	---M--	200	added ('OK')	application/x-font-ttf	etag:%221dcec-511b6c96547cd%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.ttf?v=4.3.0	J:/BootExtend/A/a%20social/ui-125/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.ttf	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
