date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:39	23002/23002	---M-Z	200	added ('OK')	text/html	etag:%2259da-51291bdcd5fcb%22	http://ashobiz.asia/boot-extended12/ui/ui-272.html	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/ui-272.html	(from )
14:56:40	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2008:56:41%20GMT	http://ashobiz.asia/robots.txt		(from )
14:56:44	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:56:45	10748/10748	---M--	200	added ('OK')	text/css	etag:%2229fc-51291c3e14410%22	http://ashobiz.asia/boot-extended12/ui/css/style-272.css	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/css/style-272.css	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:56:51	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:56:56	120236/120236	---M--	200	added ('OK')	image/jpeg	etag:%221d5ac-51291de76a706%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/1.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/1.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:01	90840/90840	---M--	200	added ('OK')	image/jpeg	etag:%22162d8-51291de317127%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/3.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/3.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:03	96549/96549	---M--	200	added ('OK')	image/jpeg	etag:%2217925-51291ddf5ff29%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/2.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/2.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:08	69501/69501	---M--	200	added ('OK')	image/jpeg	etag:%2210f7d-51291de731cd2%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/5.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/5.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:15	150478/150478	---M--	200	added ('OK')	image/jpeg	etag:%2224bce-51291dec429ca%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/4.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/4.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:19	101597/101597	---M--	200	added ('OK')	image/jpeg	etag:%2218cdd-51291df22f235%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/7.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/7.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:22	142147/142147	---M--	200	added ('OK')	image/jpeg	etag:%2222b43-51291e0c5fe21%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/6.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/6.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:30	90438/90438	---M--	200	added ('OK')	image/jpeg	etag:%2216146-51291decf5505%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/9.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/9.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:33	145053/145053	---M--	200	added ('OK')	image/jpeg	etag:%222369d-51291ded3aa57%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/8.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/8.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
14:57:38	135803/135803	---M--	200	added ('OK')	image/jpeg	etag:%222127b-51291de74266e%22	http://ashobiz.asia/boot-extended12/ui/img/ui-272/10.jpg	J:/BootExtend/B/MINI%20RESUME/BLOG%20NAV%20TAB%20(Unieque)/ashobiz.asia/boot-extended12/ui/img/ui-272/10.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-272.html)
