date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:41	5056/5056	---M-Z	200	added ('OK')	text/html	etag:%2213c0-51291bd84bef9%22	http://ashobiz.asia/boot-extended12/ui/ui-252.html	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/ui-252.html	(from )
14:30:42	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2008:30:43%20GMT	http://ashobiz.asia/robots.txt		(from )
14:30:44	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:30:46	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:30:46	10463/10463	---M--	200	added ('OK')	text/css	etag:%2228df-51291c3722ffb%22	http://ashobiz.asia/boot-extended12/ui/css/style-252.css	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/css/style-252.css	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:30:52	66238/66238	---M--	200	added ('OK')	image/jpeg	etag:%22102be-51291da0716b7%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/1.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/1.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:30:57	64986/64986	---M--	200	added ('OK')	image/jpeg	etag:%22fdda-51291d9cf4e2d%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/2.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/2.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:30:59	68025/68025	---M--	200	added ('OK')	image/jpeg	etag:%22109b9-51291d9ffd36f%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/3.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/3.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:30:59	70097/70097	---M--	200	added ('OK')	image/jpeg	etag:%22111d1-51291da111917%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/4.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/4.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:01	57599/57599	---M--	200	added ('OK')	image/jpeg	etag:%22e0ff-51291da1e672b%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/5.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/5.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:05	47775/47775	---M--	200	added ('OK')	image/jpeg	etag:%22ba9f-51291da3c7de9%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/6.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/6.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:07	53273/53273	---M--	200	added ('OK')	image/jpeg	etag:%22d019-51291da3c00eb%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/7.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/7.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:07	48915/48915	---M--	200	added ('OK')	image/jpeg	etag:%22bf13-51291da356980%22	http://ashobiz.asia/boot-extended12/ui/img/ui-252/8.jpg	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/img/ui-252/8.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:09	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-51291eaac5a05%22	http://ashobiz.asia/boot-extended12/ui/js/placeholder.js	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:10	36146/36146	---M--	200	added ('OK')	application/javascript	etag:%228d32-51291e9f4669c%22	http://ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:10	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-51291eab67ba4%22	http://ashobiz.asia/boot-extended12/ui/js/respond.min.js	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:11	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-51291e9e6ca69%22	http://ashobiz.asia/boot-extended12/ui/js/html5shiv.js	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:16	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-51291eab18a14%22	http://ashobiz.asia/boot-extended12/ui/js/jquery.js	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:16	56878/56878	---M--	200	added ('OK')	application/javascript	etag:%22de2e-51291eada1090%22	http://ashobiz.asia/boot-extended12/ui/js/jquery.nicescroll.min.js	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/js/jquery.nicescroll.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-252.html)
14:31:20	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:31:21	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:31:28	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-51291c717cbb1%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.svg?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.svg	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:31:30	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-51291c6453c21%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:31:31	71508/71508	---M--	200	added ('OK')	application/x-font-woff	etag:%2211754-51291c6203fda%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.woff?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/CONTACTS%20LIST/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.woff	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
