date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:02	4717/4717	---M-Z	200	added ('OK')	text/html	etag:%22126d-51291bd51d85f%22	http://ashobiz.asia/boot-extended12/ui/ui-244.html	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/ui-244.html	(from )
14:26:02	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2008:26:04%20GMT	http://ashobiz.asia/robots.txt		(from )
14:26:05	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
14:26:07	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
14:26:07	1135/1135	---M--	200	added ('OK')	text/css	etag:%2246f-51291bf7ca08a%22	http://ashobiz.asia/boot-extended12/ui/css/owl.carousel.css	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/css/owl.carousel.css	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
14:26:07	10962/10962	---M--	200	added ('OK')	text/css	etag:%222ad2-51291c36176f2%22	http://ashobiz.asia/boot-extended12/ui/css/style-244.css	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/css/style-244.css	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
14:26:08	3821/3821	---M--	200	added ('OK')	image/png	etag:%22eed-51291d918a2df%22	http://ashobiz.asia/boot-extended12/ui/img/ui-244/crown.png	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/img/ui-244/crown.png	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
14:26:09	4593/4593	---M--	200	added ('OK')	image/png	etag:%2211f1-51291d914ca8c%22	http://ashobiz.asia/boot-extended12/ui/img/ui-244/diamond.png	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/img/ui-244/diamond.png	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
14:26:09	3436/3436	---M--	200	added ('OK')	image/png	etag:%22d6c-51291d902b9c7%22	http://ashobiz.asia/boot-extended12/ui/img/ui-244/gift.png	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/img/ui-244/gift.png	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
14:26:10	3914/3914	---M--	200	added ('OK')	image/png	etag:%22f4a-51291d90b83aa%22	http://ashobiz.asia/boot-extended12/ui/img/ui-244/heart.png	J:/BootExtend/B/MINI%20RESUME/ICON%20CAROUSEL/ashobiz.asia/boot-extended12/ui/img/ui-244/heart.png	(from http://ashobiz.asia/boot-extended12/ui/ui-244.html)
