date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:13	5009/5009	---M-Z	200	added ('OK')	text/html	etag:%221391-51291bcc6c0c5%22	http://ashobiz.asia/boot-extended12/ui/ui-208.html	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/ui-208.html	(from )
13:38:13	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2007:38:15%20GMT	http://ashobiz.asia/robots.txt		(from )
13:38:15	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
13:38:17	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
13:38:17	9522/9522	---M--	200	added ('OK')	text/css	etag:%222532-51291c2a3c6dd%22	http://ashobiz.asia/boot-extended12/ui/css/style-208.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/css/style-208.css	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
13:38:33	96549/96549	---M--	200	added ('OK')	image/jpeg	etag:%2217925-51291d52092cb%22	http://ashobiz.asia/boot-extended12/ui/img/ui-208/2.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/img/ui-208/2.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
13:38:33	90840/90840	---M--	200	added ('OK')	image/jpeg	etag:%22162d8-51291d519cc81%22	http://ashobiz.asia/boot-extended12/ui/img/ui-208/3.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/img/ui-208/3.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
13:38:34	120236/120236	---M--	200	added ('OK')	image/jpeg	etag:%221d5ac-51291d537d3a0%22	http://ashobiz.asia/boot-extended12/ui/img/ui-208/1.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/img/ui-208/1.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
13:38:43	150478/150478	---M--	200	added ('OK')	image/jpeg	etag:%2224bce-51291d5b76240%22	http://ashobiz.asia/boot-extended12/ui/img/ui-208/4.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/img/ui-208/4.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
13:38:44	69501/69501	---M--	200	added ('OK')	image/jpeg	etag:%2210f7d-51291d50cdc2c%22	http://ashobiz.asia/boot-extended12/ui/img/ui-208/5.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK(Blog_pattern)/ashobiz.asia/boot-extended12/ui/img/ui-208/5.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-208.html)
