date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:08	4868/4868	---M-Z	200	added ('OK')	text/html	etag:%221304-51291bc296987%22	http://ashobiz.asia/boot-extended12/ui/ui-171.html	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/ui-171.html	(from )
13:01:09	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2007:01:10%20GMT	http://ashobiz.asia/robots.txt		(from )
13:01:10	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
13:01:12	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
13:01:13	1135/1135	---M--	200	added ('OK')	text/css	etag:%2246f-51291bf7ca08a%22	http://ashobiz.asia/boot-extended12/ui/css/owl.carousel.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/css/owl.carousel.css	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
13:01:13	11013/11013	---M--	200	added ('OK')	text/css	etag:%222b05-51291c1eaaa9a%22	http://ashobiz.asia/boot-extended12/ui/css/style-171.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/css/style-171.css	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
13:01:39	150241/150241	---M--	200	added ('OK')	image/jpeg	etag:%2224ae1-51291d0e8f9e6%22	http://ashobiz.asia/boot-extended12/ui/img/ui-171/3.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/img/ui-171/3.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
13:01:39	164249/164249	---M--	200	added ('OK')	image/jpeg	etag:%2228199-51291d10eb1ab%22	http://ashobiz.asia/boot-extended12/ui/img/ui-171/2.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/img/ui-171/2.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
13:01:44	218273/218273	---M--	200	added ('OK')	image/jpeg	etag:%22354a1-51291d0e3c9d7%22	http://ashobiz.asia/boot-extended12/ui/img/ui-171/1.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/img/ui-171/1.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
13:01:58	112201/112201	---M--	200	added ('OK')	image/jpeg	etag:%221b649-51291d15e18c9%22	http://ashobiz.asia/boot-extended12/ui/img/ui-171/5.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20BLOCK_30/ashobiz.asia/boot-extended12/ui/img/ui-171/5.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-171.html)
