date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:40	8920/8920	---M-Z	200	added ('OK')	text/html	etag:%2222d8-51291bdc6b8c1%22	http://ashobiz.asia/boot-extended12/ui/ui-270.html	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/ui-270.html	(from )
14:50:40	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2008:50:42%20GMT	http://ashobiz.asia/robots.txt		(from )
14:50:43	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
14:50:45	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
14:50:45	1135/1135	---M--	200	added ('OK')	text/css	etag:%2246f-51291bf7ca08a%22	http://ashobiz.asia/boot-extended12/ui/css/owl.carousel.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/css/owl.carousel.css	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
14:50:49	10868/10868	---M--	200	added ('OK')	text/css	etag:%222a74-51291c3e848d9%22	http://ashobiz.asia/boot-extended12/ui/css/style-270.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/css/style-270.css	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
14:51:00	89877/89877	---M--	200	added ('OK')	image/jpeg	etag:%2215f15-51291dc811727%22	http://ashobiz.asia/boot-extended12/ui/img/ui-270/2.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/img/ui-270/2.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
14:51:00	81481/81481	---M--	200	added ('OK')	image/jpeg	etag:%2213e49-51291dc3a3b6e%22	http://ashobiz.asia/boot-extended12/ui/img/ui-270/3.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/img/ui-270/3.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
14:51:02	120308/120308	---M--	200	added ('OK')	image/jpeg	etag:%221d5f4-51291de685ef5%22	http://ashobiz.asia/boot-extended12/ui/img/ui-270/1.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/img/ui-270/1.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
14:51:02	82352/82352	---M--	200	added ('OK')	image/jpeg	etag:%22141b0-51291dc546a39%22	http://ashobiz.asia/boot-extended12/ui/img/ui-270/4.jpg	J:/BootExtend/B/MINI%20RESUME/IMAGE%20CAROUSEL_Unique/ashobiz.asia/boot-extended12/ui/img/ui-270/4.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-270.html)
