date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:59	12004/12004	---M-Z	200	added ('OK')	text/html	etag:%222ee4-51291bcbcdda6%22	http://ashobiz.asia/boot-extended12/ui/ui-191.html	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/ui-191.html	(from )
13:20:59	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2007:21:01%20GMT	http://ashobiz.asia/robots.txt		(from )
13:21:01	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:03	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:04	10248/10248	---M--	200	added ('OK')	text/css	etag:%222808-51291c2dfc579%22	http://ashobiz.asia/boot-extended12/ui/css/style-191.css	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/css/style-191.css	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:04	5641/5641	---M--	200	added ('OK')	image/png	etag:%221609-51291d34456fa%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/1.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/1.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:04	7476/7476	---M--	200	added ('OK')	image/png	etag:%221d34-51291d34aee64%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/2.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/2.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:05	5043/5043	---M--	200	added ('OK')	image/png	etag:%2213b3-51291d360895e%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/3.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/3.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:05	5561/5561	---M--	200	added ('OK')	image/png	etag:%2215b9-51291d3532baa%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/4.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/4.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:05	6465/6465	---M--	200	added ('OK')	image/png	etag:%221941-51291d35adc50%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/5.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/5.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:06	4625/4625	---M--	200	added ('OK')	image/png	etag:%221211-51291d352702c%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/6.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/6.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:06	6668/6668	---M--	200	added ('OK')	image/png	etag:%221a0c-51291d3629c97%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/7.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/7.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:07	6987/6987	---M--	200	added ('OK')	image/png	etag:%221b4b-51291d3678e27%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/8.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/8.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:07	3783/3783	---M--	200	added ('OK')	image/png	etag:%22ec7-51291d378a4f0%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/9.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/9.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:07	4501/4501	---M--	200	added ('OK')	image/png	etag:%221195-51291d3964e4f%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/10.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/10.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:08	7227/7227	---M--	200	added ('OK')	image/png	etag:%221c3b-51291d36e3531%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/11.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/11.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:08	4667/4667	---M--	200	added ('OK')	image/png	etag:%22123b-51291d3589a38%22	http://ashobiz.asia/boot-extended12/ui/img/ui-191/12.png	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/img/ui-191/12.png	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:10	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-51291eaac5a05%22	http://ashobiz.asia/boot-extended12/ui/js/placeholder.js	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:11	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-51291eab67ba4%22	http://ashobiz.asia/boot-extended12/ui/js/respond.min.js	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:12	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-51291e9e6ca69%22	http://ashobiz.asia/boot-extended12/ui/js/html5shiv.js	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:13	36146/36146	---M--	200	added ('OK')	application/javascript	etag:%228d32-51291e9f4669c%22	http://ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:18	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-51291eab18a14%22	http://ashobiz.asia/boot-extended12/ui/js/jquery.js	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended12/ui/ui-191.html)
13:21:22	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
13:21:22	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
13:21:22	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-51291c6453c21%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/IMAGE%20ICON%20BLOCK%20(Awesome_service)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
