date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:35	5553/5553	---M-Z	200	added ('OK')	text/html	etag:%2215b1-51291bd93070a%22	http://ashobiz.asia/boot-extended12/ui/ui-260.html	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/ui-260.html	(from )
14:38:35	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2008:38:37%20GMT	http://ashobiz.asia/robots.txt		(from )
14:38:37	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:38	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:39	12326/12326	---M--	200	added ('OK')	text/css	etag:%223026-51291c39b23d5%22	http://ashobiz.asia/boot-extended12/ui/css/style-260.css	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/css/style-260.css	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:42	45180/45180	---M--	200	added ('OK')	image/jpeg	etag:%22b07c-51291db41d4d6%22	http://ashobiz.asia/boot-extended12/ui/img/ui-260/5.jpg	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/img/ui-260/5.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:47	49945/49945	---M--	200	added ('OK')	image/jpeg	etag:%22c319-51291db4d7d11%22	http://ashobiz.asia/boot-extended12/ui/img/ui-260/1.jpg	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/img/ui-260/1.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:49	56083/56083	---M--	200	added ('OK')	image/jpeg	etag:%22db13-51291db93204e%22	http://ashobiz.asia/boot-extended12/ui/img/ui-260/2.jpg	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/img/ui-260/2.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:50	57056/57056	---M--	200	added ('OK')	image/jpeg	etag:%22dee0-51291db93fb0b%22	http://ashobiz.asia/boot-extended12/ui/img/ui-260/3.jpg	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/img/ui-260/3.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:51	56405/56405	---M--	200	added ('OK')	image/jpeg	etag:%22dc55-51291db739295%22	http://ashobiz.asia/boot-extended12/ui/img/ui-260/4.jpg	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/img/ui-260/4.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:53	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-51291eaac5a05%22	http://ashobiz.asia/boot-extended12/ui/js/placeholder.js	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:54	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-51291eab67ba4%22	http://ashobiz.asia/boot-extended12/ui/js/respond.min.js	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:55	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-51291e9e6ca69%22	http://ashobiz.asia/boot-extended12/ui/js/html5shiv.js	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:55	36146/36146	---M--	200	added ('OK')	application/javascript	etag:%228d32-51291e9f4669c%22	http://ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:38:59	56878/56878	---M--	200	added ('OK')	application/javascript	etag:%22de2e-51291eada1090%22	http://ashobiz.asia/boot-extended12/ui/js/jquery.nicescroll.min.js	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/js/jquery.nicescroll.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:39:02	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-51291eab18a14%22	http://ashobiz.asia/boot-extended12/ui/js/jquery.js	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended12/ui/ui-260.html)
14:39:05	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:39:05	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:39:11	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-51291c6453c21%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:39:12	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-51291c717cbb1%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.svg?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.svg	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:39:14	71508/71508	---M--	200	added ('OK')	application/x-font-woff	etag:%2211754-51291c6203fda%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.woff?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.woff	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:39:17	122092/122092	---M--	200	added ('OK')	application/x-font-ttf	etag:%221dcec-51291c667f64f%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.ttf?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/MUSIC%20PLAYER(Unique)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.ttf	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
