date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:10	5330/5330	---M-Z	200	added ('OK')	text/html	etag:%2214d2-51291bcdfe5f3%22	http://ashobiz.asia/boot-extended12/ui/ui-216.html	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/ui-216.html	(from )
14:00:11	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Apr%202015%2008:00:12%20GMT	http://ashobiz.asia/robots.txt		(from )
14:00:13	106079/106079	---M--	200	added ('OK')	text/css	etag:%2219e5f-51291c037c067%22	http://ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:14	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-51291bf781c59%22	http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:15	10487/10487	---M--	200	added ('OK')	text/css	etag:%2228f7-51291c2ff5332%22	http://ashobiz.asia/boot-extended12/ui/css/style-216.css	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/css/style-216.css	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:23	66238/66238	---M--	200	added ('OK')	image/jpeg	etag:%22102be-51291d689f1d3%22	http://ashobiz.asia/boot-extended12/ui/img/ui-216/1.jpg	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/img/ui-216/1.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:25	64986/64986	---M--	200	added ('OK')	image/jpeg	etag:%22fdda-51291d690d75c%22	http://ashobiz.asia/boot-extended12/ui/img/ui-216/2.jpg	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/img/ui-216/2.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:27	68025/68025	---M--	200	added ('OK')	image/jpeg	etag:%22109b9-51291d5f99a89%22	http://ashobiz.asia/boot-extended12/ui/img/ui-216/3.jpg	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/img/ui-216/3.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:28	70097/70097	---M--	200	added ('OK')	image/jpeg	etag:%22111d1-51291d6402823%22	http://ashobiz.asia/boot-extended12/ui/img/ui-216/4.jpg	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/img/ui-216/4.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:32	47775/47775	---M--	200	added ('OK')	image/jpeg	etag:%22ba9f-51291d6091b16%22	http://ashobiz.asia/boot-extended12/ui/img/ui-216/6.jpg	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/img/ui-216/6.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:32	57599/57599	---M--	200	added ('OK')	image/jpeg	etag:%22e0ff-51291d636a2c2%22	http://ashobiz.asia/boot-extended12/ui/img/ui-216/5.jpg	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/img/ui-216/5.jpg	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:33	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-51291eaac5a05%22	http://ashobiz.asia/boot-extended12/ui/js/placeholder.js	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:34	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-51291eab67ba4%22	http://ashobiz.asia/boot-extended12/ui/js/respond.min.js	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:34	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-51291e9e6ca69%22	http://ashobiz.asia/boot-extended12/ui/js/html5shiv.js	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:34	36146/36146	---M--	200	added ('OK')	application/javascript	etag:%228d32-51291e9f4669c%22	http://ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:42	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-51291eab18a14%22	http://ashobiz.asia/boot-extended12/ui/js/jquery.js	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended12/ui/ui-216.html)
14:00:43	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:00:44	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-51291c6232dd0%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:00:44	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-51291c6453c21%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
14:00:51	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-51291c717cbb1%22	http://ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfont.svg?v=4.3.0	J:/BootExtend/B/MINI%20RESUME/TESTIMONIALS%20(Nice)/ashobiz.asia/boot-extended12/ui/fonts/fontawesome-webfonte0a5.svg	(from http://ashobiz.asia/boot-extended12/ui/css/font-awesome.min.css)
