date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:40:07	10245/10245	---M-Z	200	added ('OK')	text/html	etag:%222805-511b6c4ff2d82%22	http://ashobiz.asia/boot-extended11/ui/ui-32.html	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/ui-32.html	(from )
01:40:07	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2019:40:12%20GMT	http://ashobiz.asia/robots.txt		(from )
01:40:09	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:11	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:11	1650/1650	---M--	200	added ('OK')	text/css	etag:%22672-511b6c5bfeac3%22	http://ashobiz.asia/boot-extended11/ui/css/jquery.fs.stepper.css	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/css/jquery.fs.stepper.css	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:12	11497/11497	---M--	200	added ('OK')	text/css	etag:%222ce9-511b6c8055e9b%22	http://ashobiz.asia/boot-extended11/ui/css/style-32.css	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/css/style-32.css	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:14	32553/32553	---M--	200	added ('OK')	image/png	etag:%227f29-511b6ead804be%22	http://ashobiz.asia/boot-extended11/ui/img/ui-32/items/1.png	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/img/ui-32/items/1.png	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:16	21702/21702	---M--	200	added ('OK')	image/png	etag:%2254c6-511b6eada0857%22	http://ashobiz.asia/boot-extended11/ui/img/ui-32/items/3.png	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/img/ui-32/items/3.png	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:16	30096/30096	---M--	200	added ('OK')	image/png	etag:%227590-511b6eabc4f5a%22	http://ashobiz.asia/boot-extended11/ui/img/ui-32/items/2.png	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/img/ui-32/items/2.png	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:18	29976/29976	---M--	200	added ('OK')	image/png	etag:%227518-511b6eaeb2ebe%22	http://ashobiz.asia/boot-extended11/ui/img/ui-32/items/4.png	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/img/ui-32/items/4.png	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
01:40:19	33170/33170	---M--	200	added ('OK')	image/png	etag:%228192-511b6eb104a43%22	http://ashobiz.asia/boot-extended11/ui/img/ui-32/items/5.png	J:/BootExtend/ECOMMERCE%20CART/ECOMMERCE%20CART/ashobiz.asia/boot-extended11/ui/img/ui-32/items/5.png	(from http://ashobiz.asia/boot-extended11/ui/ui-32.html)
