date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:59	12719/12719	---M-Z	200	added ('OK')	text/html	etag:%2231af-511b6c3d1ade9%22	http://ashobiz.asia/boot-extended11/ui/ui-16.html	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/ui-16.html	(from )
01:17:59	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2019:18:04%20GMT	http://ashobiz.asia/robots.txt		(from )
01:18:01	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
01:18:01	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
01:18:02	12386/12386	---M--	200	added ('OK')	text/css	etag:%223062-511b6c6a0f139%22	http://ashobiz.asia/boot-extended11/ui/css/style-16.css	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/css/style-16.css	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
01:18:08	51419/51419	---M--	200	added ('OK')	image/jpeg	etag:%22c8db-511b6eac68098%22	http://ashobiz.asia/boot-extended11/ui/img/ui-16/big/1.jpg	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/img/ui-16/big/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
01:18:08	23279/23279	---M--	200	added ('OK')	image/jpeg	etag:%225aef-511b6eaac9fee%22	http://ashobiz.asia/boot-extended11/ui/img/ui-16/small/1.jpg	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/img/ui-16/small/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
01:18:08	38557/38557	---M--	200	added ('OK')	image/jpeg	etag:%22969d-511b6ea99d3ac%22	http://ashobiz.asia/boot-extended11/ui/img/ui-16/big/2.jpg	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/img/ui-16/big/2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
01:18:11	22485/22485	---M--	200	added ('OK')	image/jpeg	etag:%2257d5-511b6ea9e771d%22	http://ashobiz.asia/boot-extended11/ui/img/ui-16/small/2.jpg	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/img/ui-16/small/2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
01:18:12	62999/62999	---M--	200	added ('OK')	image/jpeg	etag:%22f617-511b6eaa462a9%22	http://ashobiz.asia/boot-extended11/ui/img/ui-16/big/3.jpg	J:/BootExtend/ECOMMERCE%20ITEM/ECOMMERCE%20ITEM/ashobiz.asia/boot-extended11/ui/img/ui-16/big/3.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-16.html)
