date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:20	5197/5197	---M-Z	200	added ('OK')	text/html	etag:%22144d-511b6c4806a06%22	http://ashobiz.asia/boot-extended11/ui/ui-234.html	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/ui-234.html	(from )
00:46:20	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2018:46:25%20GMT	http://ashobiz.asia/robots.txt		(from )
00:46:21	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:24	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:25	10147/10147	---M--	200	added ('OK')	text/css	etag:%2227a3-511b6c7672ca8%22	http://ashobiz.asia/boot-extended11/ui/css/style-234.css	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/css/style-234.css	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:40	96549/96549	---M--	200	added ('OK')	image/jpeg	etag:%2217925-511b6d6bb3b35%22	http://ashobiz.asia/boot-extended11/ui/img/ui-234/2.jpg	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/img/ui-234/2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:41	90840/90840	---M--	200	added ('OK')	image/jpeg	etag:%22162d8-511b6d68e4fca%22	http://ashobiz.asia/boot-extended11/ui/img/ui-234/3.jpg	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/img/ui-234/3.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:41	120236/120236	---M--	200	added ('OK')	image/jpeg	etag:%221d5ac-511b6d72b4941%22	http://ashobiz.asia/boot-extended11/ui/img/ui-234/1.jpg	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/img/ui-234/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:49	150478/150478	---M--	200	added ('OK')	image/jpeg	etag:%2224bce-511b6d71a421a%22	http://ashobiz.asia/boot-extended11/ui/img/ui-234/4.jpg	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/img/ui-234/4.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:51	69501/69501	---M--	200	added ('OK')	image/jpeg	etag:%2210f7d-511b6d77253d6%22	http://ashobiz.asia/boot-extended11/ui/img/ui-234/5.jpg	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/img/ui-234/5.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:46:58	101597/101597	---M--	200	added ('OK')	image/jpeg	etag:%2218cdd-511b6d772b194%22	http://ashobiz.asia/boot-extended11/ui/img/ui-234/7.jpg	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/img/ui-234/7.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
00:47:04	142147/142147	---M--	200	added ('OK')	image/jpeg	etag:%2222b43-511b6d77fc129%22	http://ashobiz.asia/boot-extended11/ui/img/ui-234/6.jpg	J:/BootExtend/FLIP%20IMAGE/FLIP%20IMAGE/ashobiz.asia/boot-extended11/ui/img/ui-234/6.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-234.html)
