date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:49	8044/8044	---M-Z	200	added ('OK')	text/html	etag:%221f6c-511b6c4f6d0fd%22	http://ashobiz.asia/boot-extended11/ui/ui-29.html	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/ui-29.html	(from )
01:36:49	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2019:36:54%20GMT	http://ashobiz.asia/robots.txt		(from )
01:36:51	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:53	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:54	1135/1135	---M--	200	added ('OK')	text/css	etag:%2246f-511b6c5bba511%22	http://ashobiz.asia/boot-extended11/ui/css/owl.carousel.css	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/css/owl.carousel.css	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:54	11390/11390	---M--	200	added ('OK')	text/css	etag:%222c7e-511b6c7f08ec0%22	http://ashobiz.asia/boot-extended11/ui/css/style-29.css	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/css/style-29.css	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:54	4040/4040	---M--	200	added ('OK')	image/png	etag:%22fc8-511b6e3bbeb94%22	http://ashobiz.asia/boot-extended11/ui/img/ui-29/trans.png	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/img/ui-29/trans.png	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:56	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-511b6ebdd3c5b%22	http://ashobiz.asia/boot-extended11/ui/js/placeholder.js	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:57	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-511b6ebf315d3%22	http://ashobiz.asia/boot-extended11/ui/js/respond.min.js	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:58	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-511b6eb5754d7%22	http://ashobiz.asia/boot-extended11/ui/js/html5shiv.js	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:36:59	35646/35646	---M--	200	added ('OK')	application/javascript	etag:%228b3e-511b6eb9dc32e%22	http://ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:37:01	23890/23890	---M--	200	added ('OK')	application/javascript	etag:%225d52-511b6ec07978e%22	http://ashobiz.asia/boot-extended11/ui/js/owl.carousel.min.js	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/js/owl.carousel.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:37:05	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-511b6ec0fd4d3%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.js	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended11/ui/ui-29.html)
01:37:07	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
01:37:09	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
01:37:11	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-511b6c9267a7d%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/MOBILE%20UI/MOBILE%20UI/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
