date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:04	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2020:55:09%20GMT	http://ashobiz.asia/robots.txt		(from )
02:55:05	56605/56605	---M-Z	200	added ('OK')	text/html	etag:%22dd1d-511658c13fc30%22	http://ashobiz.asia/boot-extended11/demo/	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/index.html	(from )
02:55:07	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511658aa4157a%22	http://ashobiz.asia/boot-extended11/demo/css/font-awesome.min.css	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:08	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511658da42c19%22	http://ashobiz.asia/boot-extended11/demo/css/bootstrap.min.css	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:08	10632/10632	---M--	200	added ('OK')	text/css	etag:%222988-511658a2c472a%22	http://ashobiz.asia/boot-extended11/demo/css/style.css	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/css/style.css	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:09	56605/56605	---M-Z	200	added ('OK')	text/html	etag:%22dd1d-511658c13fc30%22	http://ashobiz.asia/boot-extended11/demo/index.html	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/index-2.html	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:09	4017/4017	---M--	200	added ('OK')	image/png	etag:%22fb1-511659501642d%22	http://ashobiz.asia/boot-extended11/demo/ui/20.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/20.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:09	2474/2474	---M--	200	added ('OK')	image/png	etag:%229aa-5116597d6a29c%22	http://ashobiz.asia/boot-extended11/demo/ui/59.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/59.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:11	3080/3080	---M--	200	added ('OK')	image/png	etag:%22c08-5116597e81722%22	http://ashobiz.asia/boot-extended11/demo/ui/61.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/61.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:15	2981/2981	---M--	200	added ('OK')	image/png	etag:%22ba5-5116597fb7fa1%22	http://ashobiz.asia/boot-extended11/demo/ui/72.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/72.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:16	4633/4633	---M--	200	added ('OK')	image/png	etag:%221219-511659813ba70%22	http://ashobiz.asia/boot-extended11/demo/ui/79.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/79.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:18	22498/22498	---M--	200	added ('OK')	image/png	etag:%2257e2-5116593507db0%22	http://ashobiz.asia/boot-extended11/demo/ui/142.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/142.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:19	28503/28503	---M--	200	added ('OK')	image/png	etag:%226f57-5116593840084%22	http://ashobiz.asia/boot-extended11/demo/ui/149.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/149.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:21	23086/23086	---M--	200	added ('OK')	image/png	etag:%225a2e-5116593bb5bac%22	http://ashobiz.asia/boot-extended11/demo/ui/150.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/150.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:21	4502/4502	---M--	200	added ('OK')	image/png	etag:%221196-5116594017be2%22	http://ashobiz.asia/boot-extended11/demo/ui/165.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/165.png	(from http://ashobiz.asia/boot-extended11/demo/)
02:55:22	5826/5826	---M--	200	added ('OK')	image/png	etag:%2216c2-51165946053e6%22	http://ashobiz.asia/boot-extended11/demo/ui/178.png	J:/BootExtend/SLIDING%20STATUS/TIMELINE%203/ashobiz.asia/boot-extended11/demo/ui/178.png	(from http://ashobiz.asia/boot-extended11/demo/)
