date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:24:56	4640/4640	---M-Z	200	added ('OK')	text/html	etag:%221220-511b6c54c3342%22	http://ashobiz.asia/boot-extended11/ui/ui-73.html	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/ui-73.html	(from )
02:24:56	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2020:25:01%20GMT	http://ashobiz.asia/robots.txt		(from )
02:24:58	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
02:24:59	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
02:25:00	10833/10833	---M--	200	added ('OK')	text/css	etag:%222a51-511b6c868bad2%22	http://ashobiz.asia/boot-extended11/ui/css/style-73.css	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/css/style-73.css	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
02:25:11	66238/66238	---M--	200	added ('OK')	image/jpeg	etag:%22102be-511b6e974433a%22	http://ashobiz.asia/boot-extended11/ui/img/ui-73/u-1.jpg	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/img/ui-73/u-1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
02:25:12	64986/64986	---M--	200	added ('OK')	image/jpeg	etag:%22fdda-511b6e9775070%22	http://ashobiz.asia/boot-extended11/ui/img/ui-73/u-2.jpg	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/img/ui-73/u-2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
02:25:16	127674/127674	---M--	200	added ('OK')	image/jpeg	etag:%221f2ba-511b6e9ae5d79%22	http://ashobiz.asia/boot-extended11/ui/img/ui-73/1.jpg	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/img/ui-73/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
02:25:17	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-511b6ebdd3c5b%22	http://ashobiz.asia/boot-extended11/ui/js/placeholder.js	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
02:25:18	35646/35646	---M--	200	added ('OK')	application/javascript	etag:%228b3e-511b6eb9dc32e%22	http://ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	J:/BootExtend/SLIDING%20STATUS/TWITTER%20WIDGET/ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-73.html)
