date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:44	11606/11606	---M-Z	200	added ('OK')	text/html	etag:%222d56-511b6c4003f2f%22	http://ashobiz.asia/boot-extended11/ui/ui-178.html	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/ui-178.html	(from )
00:37:44	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2018:37:49%20GMT	http://ashobiz.asia/robots.txt		(from )
00:37:47	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:37:47	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:37:49	11076/11076	---M--	200	added ('OK')	text/css	etag:%222b44-511b6c6cd5fa6%22	http://ashobiz.asia/boot-extended11/ui/css/style-178.css	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/css/style-178.css	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:37:55	66238/66238	---M--	200	added ('OK')	image/jpeg	etag:%22102be-511b6ea2a041f%22	http://ashobiz.asia/boot-extended11/ui/img/ui-81/1.jpg	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/img/ui-81/1.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:37:58	35646/35646	---M--	200	added ('OK')	application/javascript	etag:%228b3e-511b6eb9dc32e%22	http://ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:37:58	64986/64986	---M--	200	added ('OK')	image/jpeg	etag:%22fdda-511b6ea3d3dbf%22	http://ashobiz.asia/boot-extended11/ui/img/ui-81/2.jpg	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/img/ui-81/2.jpg	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:37:59	2324/2324	---M--	200	added ('OK')	application/javascript	etag:%22914-511b6eb8ebf9f%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.flot.stack.min.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/jquery.flot.stack.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:00	2023/2023	---M--	200	added ('OK')	application/javascript	etag:%227e7-511b6eb8b54ab%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.flot.resize.min.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/jquery.flot.resize.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:01	12024/12024	---M--	200	added ('OK')	application/javascript	etag:%222ef8-511b6eba1da00%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.flot.pie.min.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/jquery.flot.pie.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:01	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-511b6ebdd3c5b%22	http://ashobiz.asia/boot-extended11/ui/js/placeholder.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:02	52300/52300	---M--	200	added ('OK')	application/javascript	etag:%22cc4c-511b6ec2b1cd9%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.flot.min.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/jquery.flot.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:02	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-511b6ebf315d3%22	http://ashobiz.asia/boot-extended11/ui/js/respond.min.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:03	95930/95930	---M--	200	added ('OK')	application/javascript	etag:%22176ba-511b6ec0fd4d3%22	http://ashobiz.asia/boot-extended11/ui/js/jquery.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/jquery.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:03	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-511b6eb5754d7%22	http://ashobiz.asia/boot-extended11/ui/js/html5shiv.js	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended11/ui/ui-178.html)
00:38:08	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?v=4.3.0	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:38:13	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-511b6c90d7490%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.eot?	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfontd41d.eot	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:38:13	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22ddcc-511b6c9267a7d%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.woff2?v=4.3.0	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.woff2	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:38:21	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%224c836-511b6c96db3f1%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.svg?v=4.3.0	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.svg	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:38:22	71508/71508	---M--	200	added ('OK')	application/x-font-woff	etag:%2211754-511b6c91999c7%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.woff?v=4.3.0	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.woff	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
00:38:25	122092/122092	---M--	200	added ('OK')	application/x-font-ttf	etag:%221dcec-511b6c96547cd%22	http://ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfont.ttf?v=4.3.0	J:/BootExtend/USER%20BLOCK/USER%20BLOCK/ashobiz.asia/boot-extended11/ui/fonts/fontawesome-webfonte0a5.ttf	(from http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css)
